PLAC,DIVI,OPEC,SECTION,DIVISION,DIVISION_NAME,DIVISION_NAME_ABBR,VENDOR,VENDOR_NAME,PO_NO,ITEM_NO,ITEM_NAME,SPEC,DRAW,AC,DEPT,ORGN,WC,CL,PO_DATE,DUE_DATE,REPLY_DATE,CLOSED_DATE,PRINT_FLG,TOCK_TYPE,RCV_TYPE,INV_DATE,INV_NO,REPLY_QTY,REPLY_UNIT,REPLY_UP,REPLY_AMT,REPLY_CUR,TAX_RATE,TAX_AMT,TOTAL_AMT,TRAD,ETD_DATE,ETA_DATE,EFC_DATE,TAX_INVOICE,RCV_FLG,RCV_DATE,STATUS,REMARK,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,1760528,MINEBEA TRADING (SHANGHAI) LTD.,YD48787,752383100,SPINDLE MOTOR (BASE TYPE),P<12V V<24W,,6201Z,,,,40,27/01/2026,27/01/2026,27/01/2026,,A,N,Import Invoice,27/01/2026,202601230005,1,PCS,2.876,2.88,UD,0,0,2.88,M,,,,SHA-202601230005,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2004513,SANADA (THAILAND) CO. LTD.,YE2532W,TA410-9,SENSOR FOR SOLDERING IRON,NO.36085,,6201-E,00,DMGC,,LC,09/01/2026,29/01/2026,15/01/2026,,A,N,E-Procurement,27/01/2026,D0008320575,10,PCS,2500,25000,BT,7,1750,26750,,,,,6901-0173,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2006464,WING FUNG ADHESIVE MANUFACTURING(THAILAND)CO. LTD.,YD48429,088-ALL30301FRH,USED SLEEVE BOX,(NMB REV.A),ALL MODEL,4604AJ,11,,,LC,23/12/2025,05/01/2026,05/01/2026,,A,A,E-Procurement,27/01/2026,D0008320729,100,PCS,27.6,2760,BT,7,193.2,2953.2,,,,,IV69-00823,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2006464,WING FUNG ADHESIVE MANUFACTURING(THAILAND)CO. LTD.,YD48430,088-1AH30601FRH,USED COVER,TOP/BOTTOM,,4604AJ,CO,,,LC,23/12/2025,05/01/2026,05/01/2026,,A,A,E-Procurement,27/01/2026,D0008320729,150,PCS,13.72,2058,BT,7,144.06,2202.06,,,,,IV69-00823,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2006464,WING FUNG ADHESIVE MANUFACTURING(THAILAND)CO. LTD.,YD48431,088-1DB32101FRH,USED PAPER BOX,-,EAGLE FCC 2 3D,4604AJ,11,,,LC,23/12/2025,05/01/2026,05/01/2026,,A,A,E-Procurement,27/01/2026,D0008320729,1800,PCS,6.86,12348,BT,7,864.36,13212.36,,,,,IV69-00823,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2006464,WING FUNG ADHESIVE MANUFACTURING(THAILAND)CO. LTD.,YD48432,088-1DB32001FRH,USED COVER PAD,-,EAGLE FCC 2 3D,4604AJ,11,,,LC,23/12/2025,05/01/2026,05/01/2026,,A,A,E-Procurement,27/01/2026,D0008320729,300,PCS,1.8,540,BT,7,37.8,577.8,,,,,IV69-00823,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2006464,WING FUNG ADHESIVE MANUFACTURING(THAILAND)CO. LTD.,YD48433,088-1DB32201FRH,USED BOTTOM PAD,-,EAGLE 2D/3D,4604AJ,11,,,LC,23/12/2025,05/01/2026,05/01/2026,,A,A,E-Procurement,27/01/2026,D0008320729,150,PCS,2.42,363,BT,7,25.41,388.41,,,,,IV69-00823,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2006464,WING FUNG ADHESIVE MANUFACTURING(THAILAND)CO. LTD.,YD48436,088-10315-07FRH,USED PALLET G,LUMBER (NMB REV.B),EAGLE 2D/3D,4604AJ,11,,,LC,23/12/2025,05/01/2026,05/01/2026,,A,A,E-Procurement,27/01/2026,D0008320729,2,PCS,48,96,BT,7,6.72,102.72,,,,,IV69-00823,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2006464,WING FUNG ADHESIVE MANUFACTURING(THAILAND)CO. LTD.,YD48438,088-1031506FR1H,USED PALLET F REWORK,PLY WOOD (NMB REV.B),YARRAR 1D,4604AJ,11,,,LC,23/12/2025,05/01/2026,05/01/2026,,A,A,E-Procurement,27/01/2026,D0008320731,204,PCS,48,9792,BT,7,685.44,10477.44,,,,,IV69-00824,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2006464,WING FUNG ADHESIVE MANUFACTURING(THAILAND)CO. LTD.,YD48440,,REWORK  PALLET  F,,,6225,01,,,LC,23/12/2025,05/01/2026,05/01/2026,,A,N,E-Procurement,27/01/2026,D0008320731,204,PCS,40,8160,BT,7,571.2,8731.2,,,,,IV69-00824,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2008653,JCY HDD TECHNOLOGY CO. LTD,YDC9517,1115-503-00094E,BASEPLATE,JCYFTK      D723587300 R.F(NMB.E),V11 1D,4520B2,12,DM03,,LC,12/12/2025,05/01/2026,05/01/2026,,A,A,E-Procurement,27/01/2026,D0008322402,5120,PCS,57.38,293785.6,BT,7,20564.99,314350.59,,,,,INMB2601/137,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2008653,JCY HDD TECHNOLOGY CO. LTD,YDC9521,1119-181-00032E,BASEPLATE,JCYFTK      D743071000 R.F(NMB.B),CIMARRON BP 4D,4520B2,12,DM03,,LC,12/12/2025,05/01/2026,05/01/2026,,A,A,E-Procurement,27/01/2026,D0008322400,10240,PCS,80.34,822681.6,BT,7,57587.71,880269.31,,,,,INMB2601/136,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2009742,PHUMEPHAT TRADING LIMITED PARTNERSHIP,YD48400,,REHEAT TREMENT  PALLET,,,6225,01,,,LC,22/12/2025,05/01/2026,05/01/2026,,A,N,E-Procurement,27/01/2026,D0008320640,10,PCS,30,300,BT,7,21,321,,,,,NMB-2601047,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2009814,UNITED CONTAINER CO. LTD.,YD48419,088-ALL303-01F,SLEEVE BOX,(NMB REV.A),ALL MODEL,4604AB,12,,,LC,23/12/2025,05/01/2026,05/01/2026,,A,A,E-Procurement,27/01/2026,D0008320105,70,PCS,106.85,7479.5,BT,7,523.57,8003.07,,,,,26/01575,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2009814,UNITED CONTAINER CO. LTD.,YD48419,088-ALL303-01F,SLEEVE BOX,(NMB REV.A),ALL MODEL,4604AB,12,,,LC,23/12/2025,05/01/2026,05/01/2026,,A,A,E-Procurement,27/01/2026,D0008320108,80,PCS,106.85,8548,BT,7,598.36,9146.36,,,,,26/01576,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2009814,UNITED CONTAINER CO. LTD.,YD48419,088-ALL303-01F,SLEEVE BOX,(NMB REV.A),ALL MODEL,4604AB,12,,,LC,23/12/2025,05/01/2026,05/01/2026,,A,A,E-Procurement,27/01/2026,D0008320278,70,PCS,106.85,7479.5,BT,7,523.57,8003.07,,,,,26/01573,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2009814,UNITED CONTAINER CO. LTD.,YD48419,088-ALL303-01F,SLEEVE BOX,(NMB REV.A),ALL MODEL,4604AB,12,,,LC,23/12/2025,05/01/2026,05/01/2026,,A,A,E-Procurement,27/01/2026,D0008320282,60,PCS,106.85,6411,BT,7,448.77,6859.77,,,,,26/01574,,,WAITING RECEIVE,P/O BALANCE,
T2,71,DM,71DM,T271DM,SPINDLE MOTOR,ASSY,2009814,UNITED CONTAINER CO. LTD.,YD48420,088-1AH306-01F,COVER,TOP/BOTTOM,DORADO 10D,4604AB,12,,,LC,23/12/2025,05/01/2026,05/01/2026,,A,A,E-Procurement,27/01/2026,D0008320105,190,PCS,50.7,9633,BT,7,674.31,10307.31,,,,,26/01575,,,WAITING RECEIVE,P/O BALANCE,
